Internet access state,Device Type,Client Name,Client IP address,IP Method,Clients MAC Address,Interface,Tx Rate,Rx Rate,Access time
Allow Internet access,"Canon Photo Pri","ZJ6-EU-KAA1048A",192.168.50.199,Automatic IP,C8:FF:77:E4:E5:89,2.4 GHz,52,39,19:58:07
Allow Internet access,"Reolink Innovation Limited","Reolink Innovation Limited",192.168.50.207,MAC-IP Binding,EC:71:DB:42:52:81,Wired,-,-,-
Allow Internet access,"Shenzhen SSC Technology Co. Ltd","Shenzhen SSC Technology Co  Ltd",192.168.50.214,MAC-IP Binding,5C:15:C5:06:6C:17,Wired,-,-,-
Allow Internet access,"Hon Hai Precision Ind. Co.Ltd.","Brother MFC9340CDW",192.168.50.219,Static IP,54:13:79:B2:25:51,2.4 GHz,5.5,5.5,00:05:37
Allow Internet access,"Apple TV","iPhone-de-nghia",192.168.50.221,Automatic IP,28:02:2E:E1:16:16,2.4 GHz,130,24,00:29:33
Allow Internet access,"Reolink Innovation Limited","Reolink Doorbell Vue sur entree",192.168.50.222,MAC-IP Binding,EC:71:DB:B3:2F:50,Wired,-,-,-
Allow Internet access,"OVERKIZ","salon_CONTROLLER_Somfy_Tahoma_Bo",192.168.50.226,MAC-IP Binding,F8:81:1A:51:DB:0C,Wired,-,-,-
Allow Internet access,"Synology Incorporated","NPH_DiskStation",192.168.50.232,MAC-IP Binding,00:11:32:CB:40:FE,Wired,-,-,-
Allow Internet access,"Ring Solutions","salon_ALARM_Ring_Alarm_Base",192.168.50.235,MAC-IP Binding,B0:09:DA:30:7D:CB,Wired,-,-,-
Allow Internet access,"dhcpcd-6.8.2:Linux-3.8.13+:armv","Google-Home",192.168.50.238,Automatic IP,54:60:09:FF:89:4C,2.4 GHz,72.2,72.2,10:43:34
Allow Internet access,"Texas Instruments","jardin_CAMERA_coté",192.168.50.245,MAC-IP Binding,0C:B2:B7:4D:F7:43,Wired,-,-,-
Allow Internet access,"android-dhcp-8.1.0","android-dhcp-8 1 0",192.168.50.249,Automatic IP,30:D1:6B:80:6B:CD,2.4 GHz,173.3,104,19:57:45
